sentiment,text,date,cleaned_text,tokens
positive,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla ,Sat Jun 06 06:49:41 PDT 2009,whaddup whaddup whaddup whaddup whaddup  i got white girl swag from my head to my shoes whaddup,"['whaddup', 'whaddup', 'whaddup', 'whaddup', 'whaddup', 'got', 'white', 'girl', 'swag', 'head', 'shoe', 'whaddup']"
positive,"@GogDog I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen. ",Thu May 28 23:39:25 PDT 2009,id be willing to pay 4050 thus covering the cost of the set for one of them but if youve got a counter offer ill listen,"['id', 'willing', 'pay', '4050', 'thus', 'covering', 'cost', 'set', 'one', 'youve', 'got', 'counter', 'offer', 'ill', 'listen']"
positive,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,Tue Jun 16 04:49:51 PDT 2009,working on photos from hillsongs 1 year celebration stay tuned,"['working', 'photo', 'hillsongs', '1', 'year', 'celebration', 'stay', 'tuned']"
negative,"baby's chicken pox are soo bad on the face, I am afraid she might have scars ",Fri May 01 23:59:22 PDT 2009,babys chicken pox are soo bad on the face i am afraid she might have scars,"['baby', 'chicken', 'pox', 'soo', 'bad', 'face', 'afraid', 'might', 'scar']"
negative,i don't feel good ,Thu Jun 18 16:54:56 PDT 2009,i dont feel good,"['dont', 'feel', 'good']"
positive,@edadkins ha ha I want to see pictures from when you were a minister!!!  *boobie flahses*!!!! ,Fri May 29 22:52:37 PDT 2009,ha ha i want to see pictures from when you were a minister  boobie flahses,"['ha', 'ha', 'want', 'see', 'picture', 'minister', 'boobie', 'flahses']"
negative,This day will pass slowly.  All of these days will.  RAWR!!!!  ... ,Fri May 29 12:33:09 PDT 2009,this day will pass slowly  all of these days will  rawr,"['day', 'pas', 'slowly', 'day', 'rawr']"
negative,my car is poorly ,Tue Jun 02 02:43:56 PDT 2009,my car is poorly,"['car', 'poorly']"
positive,im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part,Sun Apr 19 06:04:37 PDT 2009,im turning 18 one week from now  but i dont feel excited  i really dont know why ive seen my friends  they got excited  but on my part,"['im', 'turning', '18', 'one', 'week', 'dont', 'feel', 'excited', 'really', 'dont', 'know', 'ive', 'seen', 'friend', 'got', 'excited', 'part']"
positive,No woooooork tomorrrow&amp;tuesday ,Mon May 18 00:18:36 PDT 2009,no woooooork tomorrrowamptuesday,"['woooooork', 'tomorrrowamptuesday']"
negative,Flatmates are still in the bathroom! ARGGH!! ,Fri May 22 00:15:04 PDT 2009,flatmates are still in the bathroom arggh,"['flatmate', 'still', 'bathroom', 'arggh']"
negative,I'm having an allergic reaction to silver earings ,Mon Jun 15 11:29:59 PDT 2009,im having an allergic reaction to silver earings,"['im', 'allergic', 'reaction', 'silver', 'earings']"
negative,"@RocDoogie I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??",Mon Jun 01 21:06:49 PDT 2009,i am ill admit  maybe ill feel better tomorrow yo down 4 studio time,"['ill', 'admit', 'maybe', 'ill', 'feel', 'better', 'tomorrow', 'yo', '4', 'studio', 'time']"
negative,"@jasonhooha Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less ",Wed Jun 17 19:07:16 PDT 2009,going back to sleep is such a great idea unfortunately im already at work notebookless,"['going', 'back', 'sleep', 'great', 'idea', 'unfortunately', 'im', 'already', 'work', 'notebookless']"
negative,what is with msn making me click the wrong people. garrrrr ,Mon Jun 15 14:57:09 PDT 2009,what is with msn making me click the wrong people garrrrr,"['msn', 'making', 'click', 'wrong', 'people', 'garrrrr']"
negative,Too full of fizz but not enough cider ,Sat May 30 15:09:38 PDT 2009,too full of fizz but not enough cider,"['full', 'fizz', 'enough', 'cider']"
positive,How to Get Your Ex Back (worked for me  http://bit.ly/ec8qJ,Mon Jun 15 11:01:39 PDT 2009,how to get your ex back worked for me,"['get', 'ex', 'back', 'worked']"
negative,Time to sleep... Long day again tomorrow ,Thu Jun 25 00:37:45 PDT 2009,time to sleep long day again tomorrow,"['time', 'sleep', 'long', 'day', 'tomorrow']"
positive,Hahaha blakk is reckkkin it. :p throwwwwwed. ,Mon Jun 15 21:53:41 PDT 2009,hahaha blakk is reckkkin it p thro,"['hahaha', 'blakk', 'reckkkin', 'p', 'thro']"
positive,Cubs game today! My first ever ,Sun May 31 09:37:27 PDT 2009,cubs game today my first ever,"['cub', 'game', 'today', 'first', 'ever']"
positive,@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! ,Sun Jun 07 05:09:02 PDT 2009,hi sounds like youre feeling a bit betterthats great you have a great day,"['hi', 'sound', 'like', 'youre', 'feeling', 'bit', 'betterthats', 'great', 'great', 'day']"
positive,@foprof LOL.  Leave a kid on internet and the kid will do stupid things.,Sun May 10 00:31:36 PDT 2009,lol  leave a kid on internet and the kid will do stupid things,"['lol', 'leave', 'kid', 'internet', 'kid', 'stupid', 'thing']"
positive,eating cha with eric ,Tue Jun 02 23:23:28 PDT 2009,eating cha with eric,"['eating', 'cha', 'eric']"
positive,"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it ",Tue Jun 02 21:30:06 PDT 2009,on a good note we did meet at marty richards red ball a few years ago you were so sweet to me ill never forget it,"['good', 'note', 'meet', 'marty', 'richards', 'red', 'ball', 'year', 'ago', 'sweet', 'ill', 'never', 'forget']"
negative,My hands are officially tied. I don't think I'll have time for anything anymore  This includes the California meet ,Thu Jun 18 07:01:32 PDT 2009,my hands are officially tied i dont think ill have time for anything anymore  this includes the california meet,"['hand', 'officially', 'tied', 'dont', 'think', 'ill', 'time', 'anything', 'anymore', 'includes', 'california', 'meet']"
positive,"@Konstantine I said &quot;scar,&quot; sweetie. ",Mon May 11 21:43:17 PDT 2009,i said quotscarquot sweetie,"['said', 'quotscarquot', 'sweetie']"
negative,@CamilleJ it was supposed to go live on tv but it didn't happened in the end  that would have been cool being on the bbc...,Fri May 22 02:19:37 PDT 2009,it was supposed to go live on tv but it didnt happened in the end  that would have been cool being on the bbc,"['supposed', 'go', 'live', 'tv', 'didnt', 'happened', 'end', 'would', 'cool', 'bbc']"
positive,FCK-Brï¿½ndby 4-0! ,Sun May 17 10:49:45 PDT 2009,fckbrï½ndby 40,"['fckbrï½ndby', '40']"
negative,@team_allen jealous!  I'm yet to find a local chinese i'm satisfied with ,Thu Jun 18 12:32:19 PDT 2009,jealous  im yet to find a local chinese im satisfied with,"['jealous', 'im', 'yet', 'find', 'local', 'chinese', 'im', 'satisfied']"
positive,@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day,Fri Jun 05 18:45:48 PDT 2009,there r a few of us local yocals around  happy to find u on twitter 2day,"['r', 'u', 'local', 'yocals', 'around', 'happy', 'find', 'u', 'twitter', '2day']"
positive,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing ",Sat Jun 06 20:16:58 PDT 2009,just back from supercheap  a most successful trip the bikes are tanked amp checked for the week so all ready to start relaxing,"['back', 'supercheap', 'successful', 'trip', 'bike', 'tanked', 'amp', 'checked', 'week', 'ready', 'start', 'relaxing']"
negative,@ElleChanel want to shoot...but i'm not in charlotte .. ,Thu May 14 00:59:39 PDT 2009,want to shootbut im not in charlotte,"['want', 'shootbut', 'im', 'charlotte']"
positive,@sephrenia1982 good work ,Tue Jun 16 02:44:54 PDT 2009,good work,"['good', 'work']"
positive,@KingdomGuard welcome new cd out this week...maybe even tomorrow! ,Fri May 29 17:49:21 PDT 2009,welcome new cd out this weekmaybe even tomorrow,"['welcome', 'new', 'cd', 'weekmaybe', 'even', 'tomorrow']"
negative,@CatholicChicks hate bein on the phone that long ,Tue Jun 23 16:46:11 PDT 2009,hate bein on the phone that long,"['hate', 'bein', 'phone', 'long']"
positive,"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too ",Fri May 29 15:36:25 PDT 2009,if anyone wanted to attend tedmed but cant make the date ill happily take your place and will liveblog it for you too,"['anyone', 'wanted', 'attend', 'tedmed', 'cant', 'make', 'date', 'ill', 'happily', 'take', 'place', 'liveblog']"
positive,@melbgirl It means the same to us!  #GoCats,Mon May 18 03:42:25 PDT 2009,it means the same to us,"['mean', 'u']"
negative,"beach this morning,bbq this afternoon. Back to school/work 2morro ",Sun May 31 11:55:25 PDT 2009,beach this morningbbq this afternoon back to schoolwork 2morro,"['beach', 'morningbbq', 'afternoon', 'back', 'schoolwork', '2morro']"
positive,@joshlam and you are how old?? REALLY?!? ,Sun May 10 06:13:32 PDT 2009,and you are how old really,"['old', 'really']"
negative,@bing siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??,Wed Jun 17 02:55:54 PDT 2009,siteowner custom search box fail quotmarketquotquotenauquot does nothing  it still targets us search   should be quotonly from australiaquot,"['siteowner', 'custom', 'search', 'box', 'fail', 'quotmarketquotquotenauquot', 'nothing', 'still', 'target', 'u', 'search', 'quotonly', 'australiaquot']"
positive,Watched Crank 2.... awesome ,Sat Jun 06 16:30:39 PDT 2009,watched crank 2 awesome,"['watched', 'crank', '2', 'awesome']"
positive,@TheUncoolest ,Mon Jun 15 23:30:17 PDT 2009,,[]
positive,Night in with the rock star...  ,Sat Jun 06 21:55:04 PDT 2009,night in with the rock star,"['night', 'rock', 'star']"
positive,@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 ,Sat May 30 07:02:50 PDT 2009,dont really have a reason haha sounds stupid ill be 14,"['dont', 'really', 'reason', 'haha', 'sound', 'stupid', 'ill', '14']"
positive,first night in myers. just not the same w/out lydia!  but i'm actually excited about this summer! ,Sat May 09 20:00:55 PDT 2009,first night in myers just not the same wout lydia  but im actually excited about this summer,"['first', 'night', 'myers', 'wout', 'lydia', 'im', 'actually', 'excited', 'summer']"
negative,"my tooth is sving, and I cannot see my dentist for a week ",Tue Jun 23 11:31:48 PDT 2009,my tooth is sving and i cannot see my dentist for a week,"['tooth', 'sving', 'see', 'dentist', 'week']"
negative,cant sleep got heartburn really bad ,Sun May 31 01:08:05 PDT 2009,cant sleep got heartburn really bad,"['cant', 'sleep', 'got', 'heartburn', 'really', 'bad']"
positive,Off to Whipsnade  Hope it's dry,Sat Jun 06 03:32:13 PDT 2009,off to whipsnade  hope its dry,"['whipsnade', 'hope', 'dry']"
negative,Going To Bed ...My Ankle Hurts ,Tue Jun 16 21:44:13 PDT 2009,going to bed my ankle hurts,"['going', 'bed', 'ankle', 'hurt']"
negative,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay ,Sun Jun 07 17:37:10 PDT 2009,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay,"['hate', 'fact', 'scanned', 'wrong', 'passage', 'commentary', 'going', 'use', 'essay']"
negative,I shame the name of female  lol Alright. Shower then sleep then get up in like 5 hours.,Wed Jun 03 00:02:11 PDT 2009,i shame the name of female  lol alright shower then sleep then get up in like 5 hours,"['shame', 'name', 'female', 'lol', 'alright', 'shower', 'sleep', 'get', 'like', '5', 'hour']"
positive,"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing ",Wed Jun 03 05:00:24 PDT 2009,fine kinders coughing again so not a lot of sleep weathers good though thats the main thing,"['fine', 'kinders', 'coughing', 'lot', 'sleep', 'weather', 'good', 'though', 'thats', 'main', 'thing']"
positive,Listening to the Nutcracker.  Who says it's only a Christmas thing?! ,Sun May 17 11:37:05 PDT 2009,listening to the nutcracker  who says its only a christmas thing,"['listening', 'nutcracker', 'say', 'christmas', 'thing']"
positive,"i miss him, i cant wait to see him, im happy ",Sun May 10 09:39:21 PDT 2009,i miss him i cant wait to see him im happy,"['miss', 'cant', 'wait', 'see', 'im', 'happy']"
negative,@tristanwilds are you missing me? i'm missing my tuesday nights of 90210 ,Fri Jun 05 17:41:34 PDT 2009,are you missing me im missing my tuesday nights of 90210,"['missing', 'im', 'missing', 'tuesday', 'night', '90210']"
positive,"@mithss mourniiiiiiing eh, morniiing!!! ",Sun Jun 07 19:27:50 PDT 2009,mourniiiiiiing eh morniiing,"['mourniiiiiiing', 'eh', 'morniiing']"
positive,@pamelaong Glad the blog helped ,Tue Apr 21 01:51:27 PDT 2009,glad the blog helped,"['glad', 'blog', 'helped']"
positive,Awesome pumpkin! Your famous ,Sat May 16 23:30:02 PDT 2009,awesome pumpkin your famous,"['awesome', 'pumpkin', 'famous']"
negative,"@ScarlettHarlott Sadly , I've never seen a single episode. I know , I'm fired , right? ",Sat Jun 06 21:58:48 PDT 2009,sadly  ive never seen a single episode i know  im fired  right,"['sadly', 'ive', 'never', 'seen', 'single', 'episode', 'know', 'im', 'fired', 'right']"
positive,@LucasGo Haha. I will! o.O Hows you?  Long time no @ reply.,Fri May 29 01:19:53 PDT 2009,haha i will oo hows you  long time no  reply,"['haha', 'oo', 'hows', 'long', 'time', 'reply']"
negative,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",Mon Apr 06 22:35:40 PDT 2009,a good luck paula please dont work too hard  but i hope you have fun  your new album is gonna be amazing  xxx,"['good', 'luck', 'paula', 'please', 'dont', 'work', 'hard', 'hope', 'fun', 'new', 'album', 'gon', 'na', 'amazing', 'xxx']"
positive,Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! ,Tue Jun 16 08:34:51 PDT 2009,seattle pride will be june 28th at 11am  come out and support your community march with the marriage equality contingent,"['seattle', 'pride', 'june', '28th', '11am', 'come', 'support', 'community', 'march', 'marriage', 'equality', 'contingent']"
positive,"@Lujee seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot; ",Fri May 29 15:54:31 PDT 2009,seriosuly the second one quotsince im already a mid class dude and would work for foodquot,"['seriosuly', 'second', 'one', 'quotsince', 'im', 'already', 'mid', 'class', 'dude', 'would', 'work', 'foodquot']"
negative,at school...listining to die Ãrzte - Westerland...great song really..btw i'm so tired...i sleeped between 02:30 and 05:30..thats bad ,Sun Jun 14 23:24:06 PDT 2009,at schoollistining to die ãrzte  westerlandgreat song reallybtw im so tiredi sleeped between 0230 and 0530thats bad,"['schoollistining', 'die', 'ãrzte', 'westerlandgreat', 'song', 'reallybtw', 'im', 'tiredi', 'sleeped', '0230', '0530thats', 'bad']"
negative,I am so hungry  I hate not eating breakfast!,Mon May 18 08:07:33 PDT 2009,i am so hungry  i hate not eating breakfast,"['hungry', 'hate', 'eating', 'breakfast']"
negative,ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish ,Wed Jun 17 20:29:42 PDT 2009,ewww if i work at fazolis i have to year a viserand ugly shoesand a pony tailand no nail polish,"['ewww', 'work', 'fazolis', 'year', 'viserand', 'ugly', 'shoesand', 'pony', 'tailand', 'nail', 'polish']"
positive,@ZippyC NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE. ,Sat Jun 06 01:09:42 PDT 2009,no its full of win and i luv it lt3 ive been meaning to catch up to where its at now for ages now i have,"['full', 'win', 'luv', 'lt3', 'ive', 'meaning', 'catch', 'age']"
negative,Oft. As finished as I can be. Can I relax and be on holiday now? I think I've missed the acceptable slot for lunch. ,Sat May 30 07:55:49 PDT 2009,oft as finished as i can be can i relax and be on holiday now i think ive missed the acceptable slot for lunch,"['oft', 'finished', 'relax', 'holiday', 'think', 'ive', 'missed', 'acceptable', 'slot', 'lunch']"
positive,@ItsNeet 100%.. its like getting an A for all your classes.. ,Fri May 29 19:42:58 PDT 2009,100 its like getting an a for all your classes,"['100', 'like', 'getting', 'class']"
positive,"@seblefebvre Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early ",Mon May 18 07:09:24 PDT 2009,hi seb im a spanish fan of youim addicted to sp and i think its the best band in the worldplease come to spain early,"['hi', 'seb', 'im', 'spanish', 'fan', 'youim', 'addicted', 'sp', 'think', 'best', 'band', 'worldplease', 'come', 'spain', 'early']"
positive,Home from soccer. It's so hot out there today. We have retreated to the coolness of the basement. ,Sat May 30 12:41:07 PDT 2009,home from soccer its so hot out there today we have retreated to the coolness of the basement,"['home', 'soccer', 'hot', 'today', 'retreated', 'coolness', 'basement']"
positive,i have find my someone ,Mon Jun 01 04:49:53 PDT 2009,i have find my someone,"['find', 'someone']"
positive,@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us ,Sun Jun 07 14:14:58 PDT 2009,we are the quotfugazi patrolquot amp our motto is quotif u see a clown point em outquot please let everyone know about us,"['quotfugazi', 'patrolquot', 'amp', 'motto', 'quotif', 'u', 'see', 'clown', 'point', 'em', 'outquot', 'please', 'let', 'everyone', 'know', 'u']"
positive,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,Tue Jun 02 00:54:35 PDT 2009,it is ginormous haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,"['ginormous', 'haha', 'well', 'feel', 'wierd', 'talking', 'myy', 'ziiiit', 'ta', 'ta', 'good', 'nightt']"
positive,I'm obsessed with twitting  haha,Sun Jun 07 17:59:14 PDT 2009,im obsessed with twitting  haha,"['im', 'obsessed', 'twitting', 'haha']"
positive,One interlock down one to go ,Mon May 04 04:28:34 PDT 2009,one interlock down one to go,"['one', 'interlock', 'one', 'go']"
negative,"ugh...summer colds are the worst, esp when you have a fever on top of this ridic humidity ",Thu Jun 18 19:22:16 PDT 2009,ughsummer colds are the worst esp when you have a fever on top of this ridic humidity,"['ughsummer', 'cold', 'worst', 'esp', 'fever', 'top', 'ridic', 'humidity']"
negative,I miss Zack so much these days ,Sun Jun 07 14:45:03 PDT 2009,i miss zack so much these days,"['miss', 'zack', 'much', 'day']"
negative,@dbferguson I'm using an Asus. Forget which one at the moment since I don't have it near me.But my complaints are similar to yours. ,Fri Jun 05 20:58:42 PDT 2009,im using an asus forget which one at the moment since i dont have it near mebut my complaints are similar to yours,"['im', 'using', 'asus', 'forget', 'one', 'moment', 'since', 'dont', 'near', 'mebut', 'complaint', 'similar']"
positive,"@powersurf OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game. ",Mon Jun 01 23:30:45 PDT 2009,oh ive got a case i designed it someone idiot stole it and i can prove it if they want to play hardballim game,"['oh', 'ive', 'got', 'case', 'designed', 'someone', 'idiot', 'stole', 'prove', 'want', 'play', 'hardballim', 'game']"
negative,my thumb hurts after breaking the nail.... ,Fri May 29 01:05:16 PDT 2009,my thumb hurts after breaking the nail,"['thumb', 'hurt', 'breaking', 'nail']"
positive,"@amymacdonald1 Congrats on the 4x platinum  It's a fantastic album, one of my favs",Tue Jun 02 01:37:00 PDT 2009,congrats on the 4x platinum  its a fantastic album one of my favs,"['congrats', '4x', 'platinum', 'fantastic', 'album', 'one', 'favs']"
positive,"@JosephFrost Yeahh, that would be pretty awesome. ",Sun May 31 04:48:37 PDT 2009,yeahh that would be pretty awesome,"['yeahh', 'would', 'pretty', 'awesome']"
positive,@benlizzotte so i think you should work for the discovery channel b/c then it would be media AND sharks! ,Mon May 18 05:11:04 PDT 2009,so i think you should work for the discovery channel bc then it would be media and sharks,"['think', 'work', 'discovery', 'channel', 'bc', 'would', 'medium', 'shark']"
negative,"@paddyrules home is mums house lol hm maddens could be a plan, am actually stone cold broke atm tho not even sure i could afford door fee ",Sun Apr 19 06:32:32 PDT 2009,home is mums house lol hm maddens could be a plan am actually stone cold broke atm tho not even sure i could afford door fee,"['home', 'mum', 'house', 'lol', 'hm', 'maddens', 'could', 'plan', 'actually', 'stone', 'cold', 'broke', 'atm', 'tho', 'even', 'sure', 'could', 'afford', 'door', 'fee']"
negative,@MandyyJirouxx that page doesn't exist ,Thu Jun 18 16:12:13 PDT 2009,that page doesnt exist,"['page', 'doesnt', 'exist']"
negative,fighting a cold. ,Fri May 29 16:48:18 PDT 2009,fighting a cold,"['fighting', 'cold']"
negative,@greeleyalex  aw im jealous! I miss home. I wish I could be home in CG right now! Watching spanish tv with my Gparents,Sat Jun 06 14:32:59 PDT 2009,aw im jealous i miss home i wish i could be home in cg right now watching spanish tv with my gparents,"['aw', 'im', 'jealous', 'miss', 'home', 'wish', 'could', 'home', 'cg', 'right', 'watching', 'spanish', 'tv', 'gparents']"
negative,@aleshacal my phone is dying  no charger here!,Sat Jun 06 21:26:57 PDT 2009,my phone is dying  no charger here,"['phone', 'dying', 'charger']"
positive,@mileycyrus Green Day new cd on the 15th and you on the 16th. woo!! ,Sun May 03 08:15:50 PDT 2009,green day new cd on the 15th and you on the 16th woo,"['green', 'day', 'new', 'cd', '15th', '16th', 'woo']"
negative,my tv always freezes while i'm watching inbetweeners ,Fri Jun 05 17:20:38 PDT 2009,my tv always freezes while im watching inbetweeners,"['tv', 'always', 'freeze', 'im', 'watching', 'inbetweeners']"
negative,@softjunebreeze Ex-factor.... Me too ,Sun May 17 23:09:44 PDT 2009,exfactor me too,['exfactor']
negative, Back to school on Monday...Well I did get an iPod Touch. @shmuxel + @randomized180 See yah tomorrow then I guess ,Sun Apr 19 08:34:08 PDT 2009,back to school on mondaywell i did get an ipod touch    see yah tomorrow then i guess,"['back', 'school', 'mondaywell', 'get', 'ipod', 'touch', 'see', 'yah', 'tomorrow', 'guess']"
negative,@LisaAnneWest i missed it  have to catch up on sunday ohh ye so  fancy ldn on sunday? xoxo,Wed Jun 17 16:24:30 PDT 2009,i missed it  have to catch up on sunday ohh ye so  fancy ldn on sunday xoxo,"['missed', 'catch', 'sunday', 'ohh', 'ye', 'fancy', 'ldn', 'sunday', 'xoxo']"
negative,tried to check out your site @poeticmindset ... not working ,Mon Jun 15 16:58:43 PDT 2009,tried to check out your site   not working,"['tried', 'check', 'site', 'working']"
positive,Watching Wayne Dyer's new program on PBS &quot;Excuses Begone!&quot;. Lower mainlanders can check it out on ch. 27 or 204 on Shaw! Peace ,Thu Jun 04 22:35:04 PDT 2009,watching wayne dyers new program on pbs quotexcuses begonequot lower mainlanders can check it out on ch 27 or 204 on shaw peace,"['watching', 'wayne', 'dyer', 'new', 'program', 'pb', 'quotexcuses', 'begonequot', 'lower', 'mainlanders', 'check', 'ch', '27', '204', 'shaw', 'peace']"
negative,pimples attack! Arghhhhhhhhh ,Sun Jun 07 21:02:16 PDT 2009,pimples attack arghhhhhhhhh,"['pimple', 'attack', 'arghhhhhhhhh']"
negative,"has to pack, stillll. and doesn't want to.. ",Sat Jun 20 20:32:07 PDT 2009,has to pack stillll and doesnt want to,"['pack', 'stillll', 'doesnt', 'want']"
negative,@snikkins How dare you get some before I have a chance to. You're no longer my friend ,Sat Jun 06 18:54:23 PDT 2009,how dare you get some before i have a chance to youre no longer my friend,"['dare', 'get', 'chance', 'youre', 'longer', 'friend']"
positive,"Can't stop listening to the clips of @Jonasbrothers new album Lines, Vines and Trying Times its so amazing can't wait for the whole thing ",Fri May 29 10:54:56 PDT 2009,cant stop listening to the clips of  new album lines vines and trying times its so amazing cant wait for the whole thing,"['cant', 'stop', 'listening', 'clip', 'new', 'album', 'line', 'vine', 'trying', 'time', 'amazing', 'cant', 'wait', 'whole', 'thing']"
